timestep,active_agents,evacuated_agents,avg_panic,max_panic,avg_stamina
51,55,20,0.0,0.0,0.5059999999999996
52,55,20,0.0,0.0,0.49709090909090875
53,55,20,0.0,0.0,0.4889090909090902
54,55,20,0.0,0.0,0.4805454545454541
55,54,21,0.0,0.0,0.47129629629629577
56,54,21,0.0,0.0,0.4629629629629623
57,53,22,0.0,0.0,0.45471698113207515
58,53,22,0.0,0.0,0.44641509433962195
59,53,22,0.0,0.0,0.4383018867924524
60,53,22,0.0,0.0,0.42943396226415015
61,53,22,0.0,0.0,0.42037735849056557
62,52,23,0.0,0.0,0.4111538461538454
63,52,23,0.0,0.0,0.4024999999999995
64,52,23,0.0,0.0,0.39403846153846095
65,51,24,0.0,0.0,0.38313725490196016
66,51,24,0.0,0.0,0.3745098039215682
67,50,25,0.0,0.0,0.36619999999999947
68,49,26,0.0,0.0,0.35714285714285665
69,49,26,0.0,0.0,0.3483673469387748
70,49,26,0.0,0.0,0.3393877551020402
71,49,26,0.0,0.0,0.3310204081632647
72,49,26,0.0,0.0,0.3218367346938769
73,49,26,0.0,0.0,0.3134693877551015
74,49,26,0.0,0.0,0.30448979591836683
75,49,26,0.0,0.0,0.29632653061224434
76,49,26,0.0,0.0,0.2879591836734687
77,49,26,0.0,0.0,0.2787755102040809
78,49,26,0.0,0.0,0.2697959183673462
79,49,26,0.0,0.0,0.26122448979591756
80,49,26,0.0,0.0,0.25265306122448905
81,49,26,0.0,0.0,0.24387755102040753
82,49,26,0.0,0.0,0.23510204081632594
83,48,27,0.0,0.0,0.22708333333333275
84,47,28,0.0,0.0,0.21851063829787173
85,47,28,0.0,0.0,0.20936170212765887
86,47,28,0.0,0.0,0.2006382978723397
87,47,28,0.0,0.0,0.19191489361702047
88,46,29,0.0,0.0,0.18065217391304272
89,46,29,0.0,0.0,0.17173913043478192
90,46,29,0.0,0.0,0.16326086956521674
91,46,29,0.0,0.0,0.15478260869565147
92,46,29,0.0,0.0,0.146521739130434
93,46,29,0.0,0.0,0.13739130434782537
94,45,30,0.0,0.0,0.126666666666666
95,45,30,0.0,0.0,0.11844444444444371
96,45,30,0.0,0.0,0.1095555555555548
97,45,30,0.0,0.0,0.10111111111111036
98,45,30,0.0,0.0,0.09266666666666594
99,45,30,0.0,0.0,0.08399999999999924
100,45,30,0.0,0.0,0.07488888888888834
101,44,31,0.0,0.0,0.06840909090909046
102,44,31,0.0,0.0,0.06363636363636326
103,44,31,0.0,0.0,0.05909090909090873
104,44,31,0.0,0.0,0.05499999999999961
105,44,31,0.0,0.0,0.05068181818181783
106,44,31,0.0,0.0,0.047272727272726904
107,44,31,0.0,0.0,0.04340909090909056
108,44,31,0.0,0.0,0.039545454545454196
109,43,32,0.0,0.0,0.03604651162790664
110,42,33,0.0,0.0,0.02999999999999971
111,42,33,0.0,0.0,0.027142857142856875
112,42,33,0.0,0.0,0.023809523809523545
113,42,33,0.0,0.0,0.020952380952380705
114,42,33,0.0,0.0,0.0180952380952379
115,42,33,0.0,0.0,0.015714285714285535
116,42,33,0.0,0.0,0.013333333333333188
117,42,33,0.0,0.0,0.011428571428571357
118,42,33,0.0,0.0,0.010714285714285642
119,42,33,0.0,0.0,0.009999999999999927
120,42,33,0.0,0.0,0.009047619047618994
121,41,34,0.0,0.0,0.008536585365853602
122,40,35,0.0,0.0,0.005999999999999962
123,40,35,0.0,0.0,0.0054999999999999615
124,40,35,0.0,0.0,0.004999999999999962
125,40,35,0.0,0.0,0.004749999999999963
126,40,35,0.0,0.0,0.004249999999999962
127,40,35,0.0,0.0,0.003999999999999963
128,40,35,0.0,0.0,0.003999999999999963
129,40,35,0.0,0.0,0.003749999999999963
130,40,35,0.0,0.0,0.003749999999999963
131,40,35,0.0,0.0,0.0034999999999999628
132,39,36,0.0,0.0,0.0035897435897435516
133,39,36,0.0,0.0,0.0035897435897435516
134,39,36,0.0,0.0,0.003333333333333295
135,39,36,0.0,0.0,0.0030769230769230388
136,39,36,0.0,0.0,0.0028205128205127826
137,39,36,0.0,0.0,0.002564102564102526
138,39,36,0.0,0.0,0.0020512820512820127
