timestep,active_agents,evacuated_agents,avg_panic,max_panic,avg_stamina
1,75,0,0.0,0.0,0.9899999999999998
2,75,0,0.0,0.0,0.9799999999999992
3,75,0,0.0,0.0,0.9699999999999992
4,75,0,0.0,0.0,0.96
5,75,0,0.0,0.0,0.9500000000000013
6,75,0,0.0,0.0,0.9399999999999991
7,75,0,0.0,0.0,0.9300000000000004
8,75,0,0.0,0.0,0.9200000000000012
9,75,0,0.0,0.0,0.9099999999999983
10,75,0,0.0,0.0,0.8999999999999992
11,75,0,0.0,0.0,0.8900000000000003
12,75,0,0.0,0.0,0.8800000000000008
13,75,0,0.0,0.0,0.8699999999999991
14,75,0,0.0,0.0,0.8599999999999997
15,75,0,0.0,0.0,0.850000000000001
16,75,0,0.0,0.0,0.840133333333335
17,75,0,0.0,0.0,0.8302666666666655
18,75,0,0.0,0.0,0.8205333333333336
19,75,0,0.0,0.0,0.8106666666666673
20,75,0,0.0,0.0,0.8009333333333325
21,75,0,0.0,0.0,0.791466666666666
22,75,0,0.0,0.0,0.7818666666666673
23,75,0,0.0,0.0,0.7722666666666678
24,75,0,0.0,0.0,0.7626666666666656
25,75,0,0.0,0.0,0.7533333333333332
26,75,0,0.0,0.0,0.7437333333333336
27,75,0,0.0,0.0,0.7341333333333323
28,75,0,0.0,0.0,0.7245333333333325
29,75,0,0.0,0.0,0.7153333333333337
30,75,0,0.0,0.0,0.706133333333334
31,75,0,0.0,0.0,0.6965333333333328
32,75,0,0.0,0.0,0.6871999999999998
33,75,0,0.0,0.0,0.6782666666666667
34,75,0,0.0,0.0,0.6690666666666657
35,75,0,0.0,0.0,0.659866666666666
36,75,0,0.0,0.0,0.650666666666667
37,75,0,0.0,0.0,0.6413333333333338
38,75,0,0.0,0.0,0.6319999999999993
39,75,0,0.0,0.0,0.6226666666666663
40,75,0,0.0,0.0,0.613466666666667
41,75,0,0.0,0.0,0.6045333333333323
42,75,0,0.0,0.0,0.5954666666666658
43,75,0,0.0,0.0,0.5863999999999999
44,75,0,0.0,0.0,0.5777333333333332
45,75,0,0.0,0.0,0.5686666666666661
46,75,0,0.0,0.0,0.5597333333333327
47,75,0,0.0,0.0,0.5509333333333334
48,75,0,0.0,0.0,0.5418666666666659
49,75,0,0.0,0.0,0.5333333333333324
50,75,0,0.0,0.0,0.524533333333333
51,75,0,0.0,0.0,0.5161333333333331
52,75,0,0.0,0.0,0.5074666666666661
53,75,0,0.0,0.0,0.498666666666666
54,75,0,0.0,0.0,0.4905333333333332
55,75,0,0.0,0.0,0.48239999999999983
56,75,0,0.0,0.0,0.4737333333333324
57,75,0,0.0,0.0,0.4658666666666664
58,75,0,0.0,0.0,0.45759999999999934
59,75,0,0.0,0.0,0.4494666666666663
60,75,0,0.0,0.0,0.441599999999999
61,75,0,0.0,0.0,0.43346666666666644
62,75,0,0.0,0.0,0.42559999999999926
63,75,0,0.0,0.0,0.4177333333333333
64,75,0,0.0,0.0,0.41039999999999954
65,75,0,0.0,0.0,0.40266666666666595
66,75,0,0.0,0.0,0.39493333333333286
67,75,0,0.0,0.0,0.38706666666666595
68,75,0,0.0,0.0,0.3790666666666662
69,75,0,0.0,0.0,0.37186666666666585
70,75,0,0.0,0.0,0.36453333333333293
71,75,0,0.0,0.0,0.3571999999999993
72,75,0,0.0,0.0,0.3499999999999995
73,75,0,0.0,0.0,0.3431999999999994
74,75,0,0.0,0.0,0.3365333333333325
75,75,0,0.0,0.0,0.3298666666666662
76,75,0,0.0,0.0,0.3227999999999992
77,75,0,0.0,0.0,0.3161333333333329
78,75,0,0.0,0.0,0.3093333333333325
79,75,0,0.0,0.0,0.3029333333333329
80,75,0,0.0,0.0,0.296266666666666
81,75,0,0.0,0.0,0.29013333333333235
82,75,0,0.0,0.0,0.2837333333333328
83,75,0,0.0,0.0,0.2773333333333326
84,75,0,0.0,0.0,0.2717333333333328
85,75,0,0.0,0.0,0.2655999999999993
86,75,0,0.0,0.0,0.25999999999999945
87,75,0,0.0,0.0,0.25413333333333266
88,75,0,0.0,0.0,0.24799999999999955
89,75,0,0.0,0.0,0.24213333333333267
90,75,0,0.0,0.0,0.23653333333333257
91,75,0,0.0,0.0,0.23093333333333263
