timestep,agent_id,x,y,panic_level,evacuated,age,stamina,family_id
2,64,57,87,0.0,False,76,0.98,0
2,63,20,93,0.0,False,73,0.98,12
2,12,91,74,0.0,False,50,0.98,7
2,11,12,18,0.0,False,17,0.98,12
2,10,23,42,0.0,False,32,0.98,15
2,9,86,44,0.0,False,61,0.98,11
2,8,78,32,0.0,False,70,0.98,13
2,7,49,32,0.0,False,31,0.98,1
2,6,48,3,0.0,False,29,0.98,0
2,5,76,37,0.0,False,30,0.98,3
2,4,53,53,0.0,False,7,0.98,1
2,0,38,62,0.0,False,39,0.98,6
2,2,69,40,0.0,False,46,0.98,4
2,31,78,35,0.0,False,42,0.98,10
2,33,58,97,0.0,False,54,0.98,2
2,32,16,14,0.0,False,24,0.98,2
2,28,70,58,0.0,False,51,0.98,0
2,27,83,26,0.0,False,73,0.98,7
2,29,60,74,0.0,False,46,0.98,11
2,30,33,23,0.0,False,76,0.98,0
2,25,92,61,0.0,False,80,0.98,7
2,26,24,34,0.0,False,50,0.98,14
2,24,2,69,0.0,False,41,0.98,9
2,23,98,27,0.0,False,27,0.98,9
2,41,73,18,0.0,False,59,0.98,10
2,42,81,68,0.0,False,60,0.98,2
2,43,19,61,0.0,False,34,0.98,13
2,44,67,8,0.0,False,31,0.98,2
2,45,5,16,0.0,False,48,0.98,4
2,46,89,28,0.0,False,50,0.98,3
2,47,9,12,0.0,False,80,0.98,13
2,48,19,1,0.0,False,66,0.98,10
2,49,51,47,0.0,False,29,0.98,13
2,50,33,70,0.0,False,12,0.98,0
2,51,0,71,0.0,False,32,0.98,9
2,52,21,59,0.0,False,26,0.98,4
2,53,40,97,0.0,False,25,0.98,13
2,54,82,47,0.0,False,9,0.98,13
2,55,4,13,0.0,False,33,0.98,9
2,56,52,75,0.0,False,19,0.98,14
2,57,5,94,0.0,False,37,0.98,1
2,58,17,55,0.0,False,60,0.98,13
2,59,23,77,0.0,False,69,0.98,7
2,60,98,56,0.0,False,51,0.98,4
2,61,24,76,0.0,False,59,0.98,15
2,62,1,51,0.0,False,17,0.98,8
3,51,0,70,0.0,False,32,0.97,9
3,52,20,58,0.0,False,26,0.97,4
3,50,34,69,0.0,False,12,0.97,0
3,59,22,76,0.0,False,69,0.97,7
3,2,68,39,0.0,False,46,0.97,4
3,1,5,6,0.0,False,11,0.97,2
3,44,66,7,0.0,False,31,0.97,2
3,43,18,60,0.0,False,34,0.97,13
3,70,84,50,0.0,False,13,0.97,4
3,73,75,5,0.0,False,76,0.97,6
3,72,73,42,0.0,False,37,0.97,3
3,71,73,1,0.0,False,56,0.97,13
3,74,4,52,0.0,False,63,0.97,3
3,0,37,61,0.0,False,39,0.97,6
3,8,77,31,0.0,False,70,0.97,13
3,7,48,31,0.0,False,31,0.97,1
3,6,47,2,0.0,False,29,0.97,0
3,5,75,36,0.0,False,30,0.97,3
3,4,52,52,0.0,False,7,0.97,1
3,3,17,25,0.0,False,22,0.97,9
3,58,16,54,0.0,False,60,0.97,13
3,57,4,93,0.0,False,37,0.97,1
3,54,81,46,0.0,False,9,0.97,13
3,53,39,96,0.0,False,25,0.97,13
3,42,82,67,0.0,False,60,0.97,2
3,41,72,17,0.0,False,59,0.97,10
3,40,5,41,0.0,False,29,0.97,15
3,39,93,57,0.0,False,61,0.97,2
3,63,19,92,0.0,False,73,0.97,12
3,64,56,86,0.0,False,76,0.97,0
3,65,9,71,0.0,False,67,0.97,1
3,62,0,50,0.0,False,17,0.97,8
3,14,35,27,0.0,False,62,0.97,15
3,36,54,64,0.0,False,65,0.97,9
3,25,91,60,0.0,False,80,0.97,7
3,27,82,25,0.0,False,73,0.97,7
3,23,97,26,0.0,False,27,0.97,9
3,38,23,70,0.0,False,47,0.97,11
3,37,18,85,0.0,False,79,0.97,7
3,26,23,33,0.0,False,50,0.97,14
3,32,15,13,0.0,False,24,0.97,2
3,35,28,32,0.0,False,62,0.97,11
3,33,57,96,0.0,False,54,0.97,2
3,34,89,13,0.0,False,12,0.97,2
3,56,51,74,0.0,False,19,0.97,14
3,31,77,34,0.0,False,42,0.97,10
3,55,3,12,0.0,False,33,0.97,9
3,24,2,68,0.0,False,41,0.97,9
3,67,66,69,0.0,False,29,0.97,9
3,60,97,55,0.0,False,51,0.97,4
3,61,23,75,0.0,False,59,0.97,15
3,13,47,23,0.0,False,8,0.97,10
3,9,85,43,0.0,False,61,0.97,11
3,12,90,73,0.0,False,50,0.97,7
3,11,11,17,0.0,False,17,0.97,12
3,10,22,41,0.0,False,32,0.97,15
3,69,87,91,0.0,False,65,0.97,11
3,68,94,89,0.0,False,12,0.97,11
3,66,33,43,0.0,False,10,0.97,1
3,16,52,10,0.0,False,18,0.97,1
3,15,64,73,0.0,False,67,0.97,4
3,30,32,22,0.0,False,76,0.97,0
3,29,59,73,0.0,False,46,0.97,11
3,28,69,57,0.0,False,51,0.97,0
3,49,50,46,0.0,False,29,0.97,13
3,48,18,0,0.0,False,66,0.97,10
3,47,8,11,0.0,False,80,0.97,13
3,46,88,27,0.0,False,50,0.97,3
3,45,4,15,0.0,False,48,0.97,4
3,22,75,46,0.0,False,6,0.97,12
3,21,43,58,0.0,False,27,0.97,7
3,20,57,0,0.0,False,71,0.97,9
3,19,34,38,0.0,False,14,0.97,1
3,18,70,67,0.0,False,72,0.97,5
3,17,86,33,0.0,False,75,0.97,2
4,38,23,69,0.0,False,47,0.96,11
4,74,4,51,0.0,False,63,0.96,3
4,32,14,12,0.0,False,24,0.96,2
4,33,56,95,0.0,False,54,0.96,2
4,34,90,14,0.0,False,12,0.96,2
4,9,84,42,0.0,False,61,0.96,11
4,8,76,32,0.0,False,70,0.96,13
4,10,21,40,0.0,False,32,0.96,15
4,3,18,24,0.0,False,22,0.96,9
4,4,51,51,0.0,False,7,0.96,1
4,5,76,36,0.0,False,30,0.96,3
4,6,46,1,0.0,False,29,0.96,0
4,7,47,30,0.0,False,31,0.96,1
4,35,27,31,0.0,False,62,0.96,11
4,36,53,63,0.0,False,65,0.96,9
4,37,17,84,0.0,False,79,0.96,7
4,19,33,37,0.0,False,14,0.96,1
4,22,74,45,0.0,False,6,0.96,12
4,21,42,57,0.0,False,27,0.96,7
4,20,56,0,0.0,False,71,0.96,9
4,0,36,60,0.0,False,39,0.96,6
4,58,15,53,0.0,False,60,0.96,13
4,57,3,92,0.0,False,37,0.96,1
4,56,52,73,0.0,False,19,0.96,14
4,55,4,13,0.0,False,33,0.96,9
4,54,80,45,0.0,False,9,0.96,13
4,69,86,90,0.0,False,65,0.96,11
4,68,93,88,0.0,False,12,0.96,11
4,67,65,68,0.0,False,29,0.96,9
4,66,32,42,0.0,False,10,0.96,1
4,65,8,70,0.0,False,67,0.96,1
4,64,55,85,0.0,False,76,0.96,0
4,63,18,91,0.0,False,73,0.96,12
4,62,1,49,0.0,False,17,0.96,8
4,1,4,5,0.0,False,11,0.96,2
4,2,67,38,0.0,False,46,0.96,4
4,59,21,75,0.0,False,69,0.96,7
4,26,24,32,0.0,False,50,0.96,14
4,25,90,59,0.0,False,80,0.96,7
4,24,1,67,0.0,False,41,0.96,9
4,39,92,56,0.0,False,61,0.96,2
4,30,31,21,0.0,False,76,0.96,0
4,27,83,24,0.0,False,73,0.96,7
4,29,58,72,0.0,False,46,0.96,11
